alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1789581977.8183,elite,3461.752727353,1787621513.359,"AS23688 Link3 Technologies Ltd.",LINK3-TECH-AS-BD-AP,Dhaka,Asia,AS,Bangladesh,BD,,false,"Link3 Technologies Limited",23.7891,90.4126,false,"Link3 Technologies Ltd",true,"Dhaka Division",success,Asia/Dhaka,1212,1789433841,1789582039.6595,1080,socks4,123.200.28.222:1080,true,1849.3828773499,40607,55467,42.266378000291,123.200.28.222
true,1789581671.016,elite,9170.0126643137,1786790320.0047,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1789214605,1789582039.6364,10905,socks4,111.119.162.248:10905,true,1275.518655777,51400,66621,43.551571330526,111.119.162.248
true,1789582039.417,elite,3921.6434420483,1710635134.2288,"AS28649 Desktop Sigmanet Comunicação Multimídia SA","Desktop Sigmanet Comunicação Multimídia SA",Barretos,"South America",SA,Brazil,BR,,false,"Desktop Sigmanet Comunicação Multimídia SA",-20.5261,-48.6754,false,"Desktop Sigmanet Comunicação Multimídia SA",true,"São Paulo",success,America/Sao_Paulo,14780,1789161343,1789582039.417,4153,socks4,179.108.181.73:4153,true,1868.2236671448,31971,814811,3.7755880498168,179.108.181.73
true,1789582039.3994,elite,3775.3351409673,1697010780.1209,"AS4766 Korea Telecom",KIXS-AS-KR,Siheung-si,Asia,AS,"South Korea",KR,,false,"Korea Telecom",37.3648,126.8009,false,,true,Gyeonggi-do,success,Asia/Seoul,149,1789303406,1789582039.3994,43295,socks4,121.139.218.165:43295,true,2354.1419506073,378238,867198,30.36992667628,121.139.218.165
true,1789581551.8059,elite,627.25468994897,1786284290.8736,"AS198068 CLOUD.DOG OU",PAGM-AS,Jõhvi,Europe,EU,Estonia,EE,,true,"PAGM network",59.3577,27.4222,false,"Hosting Services",true,Ida-Virumaa,success,Europe/Tallinn,,1789305531,1789582039.3299,1080,socks5,5.45.119.70:1080,true,725.60906410217,60033,29668,66.925675299049,5.45.119.70
true,1789581655.9354,elite,7937.5586759975,1786782640.2879,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1789201117,1789582039.2668,10928,socks4,111.119.162.248:10928,true,1051.2132644653,62605,61141,50.591534271815,111.119.162.248
true,1789581767.9793,elite,5654.9718314877,1789537555.7022,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789533885,1789582039.1467,14116,socks5,45.74.31.41:14116,true,793.91360282898,293,239,55.075187969925,45.74.31.41
true,1789582039.1294,elite,7945.7119219812,1789146923.5768,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789144237,1789582039.1294,5170,socks5,45.74.31.30:5170,true,4008.7609291077,969,3169,23.417109714838,45.74.31.30
true,1789581997.245,elite,3488.1934898498,1696977260.1562,"AS131090 National Telecom Public Company Limited",NTPCL-AS-AP,Bangkok,Asia,AS,Thailand,TH,,false,"National Telecom Public Company Limited",13.8177,100.7465,false,"CAT BB",true,Bangkok,success,Asia/Bangkok,10510,1789504207,1789582039.0136,4145,socks4,159.192.121.240:4145,true,972.57566452026,329747,1010181,24.609307365769,159.192.121.240
true,1789581992.8558,elite,3611.1692301929,1789578268.6153,"AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM",MT-MPLS,Rabat,Africa,AF,Morocco,MA,,false,"Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM",34.0072,-6.8407,false,"Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM",false,Rabat-Salé-Kénitra,success,Africa/Casablanca,,1789577905,1789582038.9745,1234,http,196.64.100.75:1234,true,3308.2730770111,64,22,74.418604651163,196.64.100.75
